,index,cases,adj_births,target_pop,mcv1,mcv2,births,sia,Z_t,I_t,low_I,mid_I,high_I,low_S,mid_S,high_S
30,2015-04-15,10.666666666666666,5849.331793572119,0.0,0.855,0.0,25376.710601180555,0.0,144890.770111488,2210.167698248951,962.5934984593749,1913.686844306841,3392.7404908132003,698118.8813549269,701480.1009732516,704463.6379434001
31,2015-04-30,8.833333333333334,5877.317483240045,0.0,0.85375,0.0,25374.279474322917,0.0,148905.38910620403,1862.6984885241163,1209.3424135792795,2367.3873740265385,4146.414630356824,701330.0684345199,704990.0310824609,708214.9884841124
32,2015-05-15,11.666666666666666,5905.297702872541,0.0,0.8525,0.0,25371.84834746528,0.0,152410.99045097776,2399.6963580988613,1148.7599474260155,2268.2867247320546,3987.478150778816,704674.290146873,708627.0420606049,712112.7060174446
33,2015-05-31,16.333333333333332,5933.272452469613,0.0,0.85125,0.0,25369.41722060764,0.0,155060.09946604888,3284.163437398442,1548.4353629267384,3035.7120442101145,5322.957705057813,707094.9174976965,711524.6024688687,715458.2532210033
34,2015-06-15,27.333333333333332,5961.24173203125,0.0,0.85,0.0,25366.98609375,0.0,155652.36250233266,5368.9786957474535,1784.035436699043,3440.952585208672,6053.266451752562,709122.1919644156,714044.8916156878,718461.5031086621
35,2015-06-30,33.666666666666664,5959.078481192365,0.0,0.8491666666666666,0.010416666666666666,25362.755513635417,0.0,155042.11410872813,6569.326874796884,2534.1992681132415,4962.5971962668045,8925.07696808129,708804.5543128594,715041.3729006092,720146.1436157131
36,2015-07-15,36.5,5956.955243055298,0.0,0.8483333333333333,0.020833333333333332,25358.524933520835,0.0,153892.7446074118,7106.32474437163,2951.2584484874596,5795.1556421931,10188.454663166998,707892.301069618,715203.172501474,721368.3075623121
37,2015-07-31,33.0,5954.871997789196,0.0,0.8474999999999999,0.03125,25354.29435340625,0.0,153404.64217030403,6442.974434896944,3979.1665328585295,7812.959226081005,13946.413876274339,704251.0073771328,713345.0852731827,720943.4121533884
38,2015-08-15,23.833333333333332,5952.828725563214,0.07865475941350958,0.8466666666666667,0.041666666666666664,25350.063773291666,0.07857610465409606,154651.8425095945,4705.628386272768,3641.6142108821205,7039.3015644098205,12372.371665761897,702111.7810692493,712258.6124343396,720862.3921790177
39,2015-08-31,18.166666666666668,5950.825406546519,0.0,0.8458333333333333,0.05208333333333333,25345.833193177084,0.0,106344.9305395846,3631.632647123278,2447.3032800848114,4873.672797053312,8577.964873467918,647684.3519396447,657284.6193162373,665548.6552188498
40,2015-09-15,10.0,5948.862020908258,0.0,0.845,0.0625,25341.6026130625,0.0,110209.97730214393,2083.8152583490114,1535.1127391764269,3042.4056465135573,5383.963073933924,650289.6645501563,660191.0756906312,668655.2020493237
41,2015-09-30,7.5,5946.938548817587,0.0,0.8441666666666666,0.07291666666666666,25337.37203294792,0.0,114546.92224223725,1609.993608724236,992.754623460564,1924.9852070008628,3415.5599281898308,654317.1392402147,664213.0290324504,672792.5309531164
42,2015-10-15,4.0,5945.0549704436635,0.0,0.8433333333333333,0.08333333333333333,25333.141452833333,0.0,119545.33391343133,946.6432992495506,782.3475846593125,1535.6477720900548,2729.0052898706995,658657.1917250361,668622.4362308022,677123.9243333193
43,2015-10-31,3.0,5943.211265955641,0.0,0.8425,0.09375,25328.91087271875,0.0,124731.43053998734,757.1146393996405,508.2094150711717,1018.899901725338,1815.684842356776,663548.3514925591,673546.7475950309,682063.4761703289
44,2015-11-15,2.0,5941.407415522678,0.0,0.8416666666666667,0.10416666666666666,25324.680292604167,0.0,130105.25197596027,567.5859795497304,441.5202563838358,858.554798906536,1517.358521630352,668510.7794743194,678629.6002116515,687170.114869836
45,2015-11-30,2.0,5939.6433993139335,0.0,0.8408333333333333,0.11458333333333333,25320.449712489582,0.0,135477.3093957245,567.5859795497304,326.39694721346547,642.0188570801945,1139.2982633218444,673780.4498032097,683927.2247538797,692483.389764003
46,2015-12-15,1.8333333333333333,5937.919197498558,0.0,0.84,0.125,25316.219132375,0.0,140879.23072364827,535.9978695747453,353.7876497008102,697.881457313244,1236.4356312235466,679074.0355116625,689167.2624940686,697766.8861560156
47,2015-12-31,1.6666666666666667,5936.234790245704,0.0,0.8391666666666666,0.13541666666666666,25311.988552260416,0.0,146311.05575429427,504.4097595997604,322.6827770233299,627.5766680163131,1120.1806399115017,684391.839842629,694475.9206162958,703093.0142443284
48,2016-01-15,15.333333333333334,5934.590157724534,0.0,0.8383333333333333,0.14583333333333331,25307.75797214583,0.0,149151.01113447023,3094.6347775485324,436.901494546533,857.2402372672353,1527.2440952801355,689472.4743153444,699553.2705367525,708113.7442850026
49,2016-01-31,29.166666666666668,5932.985280104206,0.43838873775291487,0.8374999999999999,0.15625,25303.52739203125,0.26527416558905026,149367.54850910214,5716.447905472289,1967.5456683892478,3846.529037154352,6880.125725571601,691314.8632879991,701639.726779702,710471.8151239784
50,2016-02-15,39.833333333333336,5931.4201375538605,0.0,0.8366666666666667,0.16666666666666666,25299.296811916665,0.0,-20857.373754046275,7738.086943871331,3502.1693624842223,6958.924847206526,12270.668081131407,506599.2564603348,514757.89945892774,521878.23978073493
51,2016-02-29,36.666666666666664,5929.89471024267,0.0,0.8358333333333333,0.17708333333333331,25295.06623180208,0.0,-22065.391898150265,7137.912854346614,3061.914844564126,6040.321537532659,10742.53317043218,505672.81554503535,514647.4726316369,522819.63878508087
52,2016-03-15,24.5,5928.408978339786,0.0,0.835,0.1875,25290.8356516875,0.0,-20968.9637459832,4831.9808261727085,3157.1681669242425,6144.088223097682,10996.240972031019,504574.29853421415,514431.7933868775,523179.61658220174
53,2016-03-31,15.5,5926.962922014359,0.0,0.8341666666666666,0.19791666666666666,25286.605071572914,0.0,-18168.223711492377,3126.222887523517,2027.6630881442265,3986.7081991201044,7100.212710076005,506400.49991478224,516372.0481097728,525446.8900459904
