,index,cases,adj_births,target_pop,mcv1,mcv2,births,sia,Z_t,I_t,low_I,mid_I,high_I,low_S,mid_S,high_S
135,2017-08-31,1.1666666666666667,10275.568616679811,0.0,0.89,0.37083333333333335,51636.02319939605,0.0,-629389.1686560819,1127.9111398535026,444.4062139891037,907.4125000798259,1642.9265559797698,1079596.783889132,1142372.5847773645,1203650.6513225483
136,2017-09-15,1.3333333333333333,10255.65917824973,0.0,0.89,0.375,51535.97577009916,0.0,-620348.259936136,1214.750458303772,511.45147942330095,1018.9988872208428,1832.4566236720514,1088937.9749198451,1151609.2450683871,1212975.3876192002
137,2017-09-30,1.1666666666666667,10235.748365888765,0.0,0.89,0.37916666666666665,51435.92143662697,0.0,-611240.4227101009,1127.9111398535026,550.2489635669398,1106.9459751045886,2017.6923055559953,1098147.4932550145,1160738.0474591763,1222105.0489745452
138,2017-10-15,1.3333333333333333,10215.836179596925,0.0,0.89,0.3833333333333333,51335.860198979535,0.0,-602239.3369888077,1214.750458303772,517.0930535746155,1030.471285525547,1872.7251618782159,1107602.5633145717,1169923.412353245,1231191.3160958209
139,2017-10-31,1.6666666666666667,10195.922619374209,0.0,0.89,0.3875,51235.79205715684,0.0,-593431.8434646376,1388.429095204311,546.3095921302115,1105.672382197184,1984.795422095916,1116694.4388533104,1179013.662590425,1240105.5775584572
140,2017-11-15,1.3333333333333333,10176.007685220617,0.0,0.89,0.39166666666666666,51135.717011158886,0.0,-584470.5862377209,1214.750458303772,627.797039724065,1270.10429873939,2311.6638891057555,1125690.886664658,1187919.56597691,1249007.578766949
141,2017-11-30,0.6666666666666666,10156.091377136148,0.0,0.89,0.3958333333333333,51035.63506098568,0.0,-575181.8880450875,867.3931845026942,546.1713877004439,1103.7939755518437,1987.0017788953026,1134836.8651921644,1196971.863378492,1258010.5428865822
142,2017-12-15,0.0,10136.173695120804,0.0,0.89,0.4,50935.54620663722,0.0,-565565.7502606681,520.0359107016166,423.9641012942896,849.7494409380645,1524.3938470958428,1144111.7486693312,1206258.2876326737,1267170.2406180003
143,2017-12-31,0.0,10116.254639174582,0.0,0.89,0.4041666666666667,50835.450448113486,0.0,-555969.5315321952,520.0359107016166,248.87525402831704,507.3479314956789,917.1334508100177,1153914.4396757027,1215867.1943403624,1276798.8036863352
144,2018-01-15,2.0,10096.334209297482,0.0,0.89,0.4083333333333333,50735.347785414495,0.0,-547435.3050550024,1562.1077321048497,336.4048689253213,666.7421636800756,1207.6514505947032,1163199.8275148377,1225296.7863859714,1286038.0580537287
