,index,cases,adj_births,target_pop,mcv1,mcv2,births,sia,Z_t,I_t,low_I,mid_I,high_I,low_S,mid_S,high_S
10,2014-06-15,12.833333333333334,15959.3262087525,0.7187638511848438,0.45,0.0,26822.3969895,0.14016383041803984,-101193.9919944841,2969.4010352562163,1902.4588105409043,4184.073086658108,8007.020060286977,2141236.262448432,2231606.011561176,2303865.863429564
11,2014-06-30,10.166666666666666,15961.557301362594,0.0,0.4504166666666667,0.0,26843.064622850696,0.0,-414578.0424799544,2396.7936067730902,1382.2039661978965,3000.2057269976735,5705.198093167346,1852459.310050491,1929960.2038871448,1992131.2909415627
12,2014-07-15,5.333333333333333,15963.772893247675,0.0,0.45083333333333336,0.0,26863.73225620139,0.0,-399973.2122293543,1358.9426426474242,801.8837790624355,1714.720548950976,3227.5705760364385,1866836.4531486938,1944209.2562314519,2006413.6657864973
13,2014-07-31,3.1666666666666665,15965.972984407743,0.0,0.45125000000000004,0.0,26884.399889552085,0.0,-384900.9383519513,893.6991070048844,538.1516730172739,1160.2361804798288,2200.59809719959,1881750.5147595461,1959014.993035369,2021053.763065925
14,2014-08-15,4.666666666666667,15968.157574842795,0.0,0.45166666666666666,0.0,26905.067522902777,0.0,-370148.571562635,1215.7907855266428,444.4399089922457,960.8115118621655,1832.7603281213524,1896658.5371024315,1974022.3390983478,2036077.8515986437
15,2014-08-31,8.333333333333334,15970.32666455284,0.0,0.45208333333333334,0.0,26925.73515625347,0.0,-356181.3708977732,2003.1259996909412,626.8622815990399,1360.3688959411381,2601.3531960853497,1911546.302852863,1988632.2968669632,2050558.3662693803
16,2014-09-15,12.0,15972.48025353787,0.0,0.4525,0.0,26946.402789604166,0.0,-342999.3518580906,2790.4612138552393,1022.4162820321042,2190.684364585696,4123.89543662018,1925718.7857262776,2002414.0927559182,2064465.7139385915
17,2014-09-30,12.0,15974.618341797885,0.0,0.4529166666666667,0.0,26967.07042295486,0.0,-329815.1947301482,2790.4612138552393,1352.1322569545982,2950.5235492756024,5603.643766384602,1938098.909860381,2015438.1875484402,2077070.6220426483
18,2014-10-15,12.0,15976.740929332887,0.6624940647849168,0.45333333333333337,0.0,26987.738056305556,0.149350783101118,-316628.91501467023,2790.4612138552393,1453.6683962925283,3148.4798240281943,6018.638427044065,1950872.4052003291,2028266.448653745,2090294.744978765
19,2014-10-31,12.0,15978.848016142882,0.0,0.45375,0.0,27008.40568965625,0.0,-619587.4161444393,2790.4612138552393,1374.0505984309502,2970.733856023543,5582.325787145283,1670787.130608384,1736408.6083332147,1788968.8450151747
