,sia_date,avg_S,std_S,low_S,high_S,avg_base,std_base,avg_total,std_total,avg_averted,std_averted,low_av,high_av
0,2035-01-15,771217.3768916812,76189.62974153645,636057.8045360005,886553.625045595,1123672.721772685,109011.68902119926,1045612.6490199718,105069.38242894204,78060.07275271314,8868.962685949373,64373.75704007292,91176.97790077646
1,2035-02-15,766182.261873883,76722.36989224968,632079.3664795413,880937.019038421,1123442.4572037242,107910.78585705992,1045997.5333884066,103927.67439289077,77444.92381531809,9004.855322705198,63665.87292329933,90851.39830953024
2,2035-03-15,760832.5576280216,78622.19470703062,621438.7034448828,876981.0831071114,1123449.300628946,109410.37743814466,1046684.2763004402,105292.65782315082,76765.02432850549,9149.088332237941,62811.87166548067,90222.48937459989
3,2035-04-15,757409.2133785809,80479.94053436149,613615.9599442078,875416.5039732782,1123852.150888334,112246.94213452094,1047473.3418230705,108102.1677283803,76378.80906526375,9218.316746222934,62185.67959806964,89896.65280838934
4,2035-05-15,759403.7242119074,81268.82264221032,610921.588497433,878925.3938490922,1124136.3574959524,114559.51983909923,1047476.3162093948,110422.92959178344,76660.04128655765,9272.561622580657,62260.13953127245,90165.97146783546
5,2035-06-15,760400.2143475526,81185.16851263666,611679.1376969311,880325.4069921987,1124318.0313828879,115153.80875833335,1047635.6043518009,111094.29099634817,76682.42703108709,9323.150371053887,62611.38304192299,90203.21124269426
6,2035-07-15,758679.2760536378,81269.37144438655,611239.2837499736,879150.6333669423,1124323.6073625349,114825.44642768825,1047773.8325587598,110732.26410421632,76549.77480377491,9350.717876112978,62494.89641854933,90031.7042279398
7,2035-08-15,761446.1283392556,81110.98813293764,614868.9964514074,882112.1083981367,1124703.627962962,114926.82821553646,1047841.4821857226,110742.83222531846,76862.14577723962,9306.679553618713,62416.5493350474,90221.31518010033
8,2035-09-15,764322.3975082624,80349.62383246659,620348.5409741042,882722.8792192325,1125124.7122365732,114289.55358319741,1047913.5799545349,110096.78237390416,77211.13228203848,9255.41786470983,62898.52724625288,90780.22305410894
9,2035-10-15,767176.8087864048,79351.18675253766,625340.224322797,884765.3062134121,1125668.1177301444,112972.75621180204,1048141.4892777832,108781.16891030589,77526.62845236104,9159.973679555074,63374.90002641822,91075.53708266269
10,2035-11-15,769740.3759084258,78401.08174104686,631004.8196061152,886508.3078398578,1125870.9806435371,111624.09600743421,1048049.4440242952,107415.48355960536,77821.53661924206,9057.987221320782,63996.653796356026,91121.89930996565
11,2035-12-15,772811.443720016,77635.45507981569,636192.2234312309,888848.0292266696,1125727.7206951187,110366.87437396846,1047545.0446480572,106130.46739563227,78182.67604706154,8965.329776785335,64397.99484548376,91319.71392861173
12,2036-01-15,773047.4344658,76989.06117031642,637328.9699674556,888477.1749960799,1125675.3285180347,109415.82147446177,1047578.9869255106,105195.39760711408,78096.34159252417,8925.115440210846,64575.65487755421,91224.29238559914
13,2036-02-15,767499.6637718101,77683.49518212704,630344.5504525804,882843.4456942532,1125628.740639671,108804.46632249112,1048239.4114007119,104565.53368326403,77389.32923895924,8947.099942854475,63841.41510498825,90616.4098659473
14,2036-03-15,761551.3147149205,79558.36933114458,621524.060103995,879335.1323992035,1125625.0411601798,111138.96695260212,1049001.9999439383,106907.21753184087,76623.04121624146,9031.318545441416,63027.47227966456,89991.82640682983
15,2036-04-15,757454.3964428444,81577.76619679539,610856.4762040618,878604.3552529787,1125496.647300103,114469.5693088377,1049325.4620269795,110220.55132998161,76171.18527312331,9127.767003259572,62055.97968046725,89913.68712125548
16,2036-05-15,758926.2220153494,82490.26483314187,608906.4897000527,880231.8335114014,1125399.9256683113,117290.53416106886,1048971.5333827331,113052.87540700675,76428.39228557824,9162.485192158058,62088.238590264555,89948.14536936533
17,2036-06-15,759376.7010024429,82272.2745412946,609552.8342111041,880145.0321385497,1125215.153031427,118011.19390676626,1048776.0712001447,113905.63100800315,76439.08183128232,9153.14148675558,62044.299883620464,89847.42950849817
18,2036-07-15,757042.0623958905,82223.39442708575,608554.328853624,878450.3021329624,1124997.9148907436,117338.96867866788,1048710.443537895,113276.17796870692,76287.47135284836,9091.0045854032,62077.460571306685,89524.59603958813
19,2036-08-15,759319.5326190462,81934.69913409073,610990.4933015776,880309.0839047369,1124883.0586578103,116873.54062540687,1048274.7262575506,112773.76089243244,76608.33240025968,9002.170910267869,62535.57573788907,89755.80350558936
20,2036-09-15,761776.247287829,81051.57698338966,615767.6246908113,881975.150626106,1124729.3363181998,116059.96563956825,1047775.2882776466,111957.55246278367,76954.04804055295,8919.776763543194,62889.87798939499,90203.05036245716
21,2036-10-15,764341.907764189,80068.99909837586,620357.8364502187,884508.515202591,1124504.6599206591,114471.5547424331,1047232.8184628834,110324.50728192173,77271.84145777576,8795.80786570624,63302.280443356394,90465.77743281068
22,2036-11-15,766887.178655872,79098.91122043354,624970.2131081314,884872.2689930518,1124168.2063499505,112690.529789837,1046583.2645537122,108508.73848824446,77584.94179623848,8673.960955700117,63873.115732254584,90475.89779082454
23,2036-12-15,769823.3307141525,78247.45461138165,629734.8747748414,886563.7790057224,1123786.353787544,110994.55825072917,1045843.5740967371,106766.15741779344,77942.77969080686,8631.943234281807,64333.10196599879,91053.97092025966
